,id,titulo,label,canal,data_upload,categoria,tags,duracao_segundos,link,visualizacoes,quantidade_likes,query,tempo_desde_pub,visualizacoes_por_dia,probabilidade
503,watch?v=3Ie39phKdpk,Manual machine - learning BMX racing bike skills!,0,Rockstar Harley,2022-10-11,['Sports'],"['bmx racing', 'bike skills', 'dream', 'fun kids', 'jump around', 'unstoppable', ""you can't stop me"", 'manual machine', 'wheelie', 'bike tricks', 'easy bike tricks', 'stunt rider', 'stunt', 'stunter', 'stunt riding', 'bike life', 'bmx life', 'mtb life', 'mountain bike', 'bmx freestyle', 'inspired by fabio wibmer', 'baby fabio wibmer', 'bike', 'learning to ride', 'learning bike skills', 'bmx inspiration', 'mtb inspiration', 'home work out', 'fitness', 'health']",11.0,https://www.youtube.com/watch?v=3Ie39phKdpk,53,954870.0,machine+learning,191.0,0.2774869109947644,309
523,watch?v=wtolixa9XTg,How I would learn Machine Learning (if I could start over),0,AssemblyAI,2022-09-03,['People & Blogs'],,463.0,https://www.youtube.com/watch?v=wtolixa9XTg,210,10423.0,machine+learning,229.0,0.9170305676855895,338
524,watch?v=AopGnnPPczY,How I use Machine Learning as a Data Analyst,0,Luke Barousse,2022-08-30,['Science & Technology'],"['data viz by luke', 'business intelligence', 'data science', 'bi', 'computer science', 'data nerd', 'data analyst', 'data scientist', 'how to', 'data project', 'data analytics', 'portfolio project', 'sql', 'excel', 'python', 'power bi', 'tableau', 'data engineer', 'machine learning', 'scikit learn', 'tensorflow', 'pytorch']",710.0,https://www.youtube.com/watch?v=AopGnnPPczY,94,3334.0,machine+learning,233.0,0.4034334763948498,303
529,watch?v=C82lT9cWQiA,Building a Machine Learning API in 15 Minutes | Coding Challenge,1,Nicholas Renotte,2022-08-10,['Science & Technology'],"['coding challenge', 'python', 'machine learning', 'fast api']",1204.0,https://www.youtube.com/watch?v=C82lT9cWQiA,61,2225.0,machine+learning,253.0,0.2411067193675889,0.39
535,watch?v=6Gd9i3DxhkM,4 CR+ SALARY for DATA SCIENTISTS ??🔥GATE AIR-2 to MACHINE LEARNING @ AMAZON🔥 Scaler Data Science,0,E-Learning Bridge,2022-07-30,['Education'],"['shashank mishra', 'e learning bridge', 'data science', 'data scientist', 'a day in life of a data scientist', 'microsoft data scientist', 'microsoft data science interview', 'data science roadmap 2022', 'krish naik', 'data science interview', 'data science for beginners', 'data scientist in faang', 'data scientist salary', 'data science jobs', 'amazon data scientist', 'google data scientist', 'data science course', 'machine learning course', 'scaler', 'scaler review', 'machine learning', 'machine learning interview']",2415.0,https://www.youtube.com/watch?v=6Gd9i3DxhkM,494,10959.0,machine+learning,264.0,1.871212121212121,293
536,watch?v=XnqzHfhWDs0,¿Qué es el Machine Learning?,0,Tecnocapsulas PUCV,2022-07-29,['Science & Technology'],"['Machine learning', 'Science', 'Stem', 'Aprendizaje automático', 'Computer science', 'Inteligencia artificial', 'Tecnología', 'Pucv', 'Ciencia']",61.0,https://www.youtube.com/watch?v=XnqzHfhWDs0,99,5.0,machine+learning,265.0,0.3735849056603773,305
542,watch?v=Ip93CEAiCPs,Problem Solved [Building and Deploying Machine Learning Solutions with Vertex AI Challenge Lab],1,Md. Bazlur Rahman Likhon,2022-07-02,['Education'],,1891.0,https://www.youtube.com/watch?v=Ip93CEAiCPs,85,2.0,machine+learning,292.0,0.2910958904109589,517
545,watch?v=iuLlMyAVYqE,Building and Deploying Machine Learning Solutions with Vertex AI: Challenge Lab | Qwiklabs [GSP354],1,Techie Zilla,2022-06-29,['Science & Technology'],"['Techie Zilla', 'Google cloud ready', 'gcp', 'Qwiklabs', 'Qwiklab Support', 'GoogleCloudReady', '30DaysOfGoogleCloud', 'Cloud', 'Qwiklab', 'Qwiklabs Google Cloud', 'web', 'google cloud', 'Google Cloud Platform', 'Google Events', 'Free Google Swag', 'Free swags', 'Google Cloud Read Facilitator Program', 'Google Cloud Ready Program', '30 Days of Google Cloud', 'Learn to Earn Cloud Challenge', 'GSP354', 'Building and Deploying Machine Learning Solutions with Vertex AI: Challenge Lab']",565.0,https://www.youtube.com/watch?v=iuLlMyAVYqE,3,32.0,machine+learning,295.0,0.0101694915254237,328
546,watch?v=5gf2ntjVGe8,Andrew Ng’s Machine Learning Specialization 2022 | What is it and is it worth taking?,1,Thu Vu data analytics,2022-06-29,['People & Blogs'],"['data analytics', 'data science', 'python', 'data', 'tableau', 'bi', 'programming', 'technology', 'coding', 'data visualization', 'python tutorial', 'data analyst', 'data scientist', 'data analysis', 'power bi', 'python data anlysis', 'data nerd', 'big data', 'learn to code', 'business intelligence', 'how to use r', 'r data analysis', 'vscode']",727.0,https://www.youtube.com/watch?v=5gf2ntjVGe8,90,3441.0,machine+learning,295.0,0.3050847457627119,548
547,watch?v=e6v8PD4CL10,Building and Deploying Machine Learning Solutions with Vertex AI: Challenge Lab#Learn_to_earn#gsp354,1,Quick Lab,2022-06-28,['Comedy'],"['Google Cloud Ready Facilitator Program 2022 Solutions', 'Registrations', 'GCRF', 'Quick Lab', 'gcrf', 'learntoearn', 'Building and Deploying Machine Learning Solutions with Vertex AI: Challenge Lab', 'gsp354']",4835.0,https://www.youtube.com/watch?v=e6v8PD4CL10,1,24.0,machine+learning,296.0,0.0033783783783783,303
