,id,titulo,label,canal,data_upload,categoria,tags,duracao_segundos,link,visualizacoes,quantidade_likes,query,tempo_desde_pub,visualizacoes_por_dia
0,watch?v=kE9gYQDyVr0,Trabalhando com Bases de Dados (Datasets) Desbalanceadas em Projetos de Ciência de Dados,0,Hashtag Programação,2023-04-17,['Education'],"['Bases de dados desbalanceadas', 'Datasets desbalanceados', 'Projetos de ciência de dados', 'Bases desbalanceadas em ciência de dados', 'Datasets desbalanceados em ciência de dados', 'Como trabalhar com datasets desbalanceados', 'Dicas de como trabalhar com datasets desbalanceados', 'Undersampling', 'Oversampling', 'Randomundersampler', 'Randomoversampler', 'Algoritmo de clusterização', 'Knn', 'Imbalanced-learn', 'ciência de dados', 'ciência dados', 'hashtag programação']",1326.0,https://www.youtube.com/watch?v=kE9gYQDyVr0,858,72.0,ciencia+de+dados,3.0,286.0
1,watch?v=GgEUPkAG1ho,Trabalho ciencia de dados-parte-1,0,Jonas Silva,2023-04-13,['People & Blogs'],,389.0,https://www.youtube.com/watch?v=GgEUPkAG1ho,2,0.0,ciencia+de+dados,7.0,0.2857142857142857
2,watch?v=U1a_Tp0O1Co,Como Aprender CIÊNCIA DE DADOS do ZERO?,0,Hashtag Programação,2023-04-10,['Education'],"['Como aprender ciência de dados', 'Como aprender ciência de dados do zero', 'Aprendizado em ciência de dados', 'Qual melhor caminho para aprender ciência de dados', 'Passos para ser um cientista de dados', 'Fundamentos em ciência de dados', 'O que é ciência de dados', 'Etapas básicas de um projeto', 'Bibliotecas em programação', 'Análise exploratória de dados', 'Quando vou aprender tudo em ciência de dados', 'Metas relacionadas à resultados', 'ciência de dados', 'ciência dados', 'hashtag programação']",1514.0,https://www.youtube.com/watch?v=U1a_Tp0O1Co,1,173.0,ciencia+de+dados,10.0,0.1
3,watch?v=CWPogsa6Hnw,"Ciencia de los Datos, Big Data, Ciencia y Naturaleza",0,Revista Ciencia y Naturaleza,2023-04-09,['Science & Technology'],"['Revista CyN', 'Ciencia', 'Naturaleza', 'Divulgacion', 'Difusion', 'Tecnologia', 'Biologia', 'podcast', 'chatgpt', 'artificial intelligence', 'big data']",56.0,https://www.youtube.com/watch?v=CWPogsa6Hnw,653,19.0,ciencia+de+dados,11.0,59.36363636363637
4,watch?v=8nevLq52WP0,Ciencia de dados na gestao em Saude da prevencao a predicao,0,TIKTAK,2023-03-21,['People & Blogs'],,100.0,https://www.youtube.com/watch?v=8nevLq52WP0,2,0.0,ciencia+de+dados,30.0,0.06666666666666667
5,watch?v=65dHRiYrMfo,Fundamentos da Ciência de Dados,0,IPETEC,2023-03-16,['Education'],"['ucp', 'pós', 'pos', 'graduação', 'graduacao', 'graduaçao', 'cursos', 'ipetec', 'live', 'Professora Mauricio Onoda', 'Mauricio Onoda', 'Ciência de Dados', 'Fundamentos da Ciência de Dados', 'Fundamentos dados']",10949.0,https://www.youtube.com/watch?v=65dHRiYrMfo,26,5.0,ciencia+de+dados,35.0,0.7428571428571429
6,watch?v=j4YQYvduNKM,O que REALMENTE é CIÊNCIA DE DADOS?,0,Data Match,2023-03-10,['Science & Technology'],"['ciencia de dados', 'inteligencia artificial', 'ia', 'como virar um cientista de dados', 'o que é ciencia de dados', 'carreira ciencia de dados', 'cientista de dados', 'dados', 'dicas para trabalhar com ciencia de dados']",15.0,https://www.youtube.com/watch?v=j4YQYvduNKM,341,39.0,ciencia+de+dados,41.0,8.317073170731707
7,watch?v=yF2JumRA90w,COMO TRABALHAR COM CIÊNCIA DE DADOS | Dicas para conseguir sua primeira oportunidade,0,Data Match,2023-03-09,['Science & Technology'],"['ciencia de dados', 'inteligencia artificial', 'ia', 'machine learning', 'python', 'analise de dados', 'sql', 'cientista de dados', 'aprendizado de maquina', 'estatistica', 'trabalhar com inteligencia artificial', 'dicas trabalhar com ciencia de dados', 'trabalhar com dados', 'carreira de cientista de dados', 'como virar um cientista de dados']",457.0,https://www.youtube.com/watch?v=yF2JumRA90w,660,145.0,ciencia+de+dados,42.0,15.714285714285714
8,watch?v=JCF_HK5Czcc,ASSISTA ESSE VÍDEO ANTES DE FAZER UMA ENTREVISTA PARA CIENTISTA DE DADOS,0,Eduardo | Ciência dos Dados,2023-03-06,['Science & Technology'],,724.0,https://www.youtube.com/watch?v=JCF_HK5Czcc,207,7.0,ciencia+de+dados,45.0,4.6
9,watch?v=vriwG0jfH_o,APRENDA ISSO ANTES DE COMEÇAR NA CIÊNCIA DE DADOS,0,Eduardo | Ciência dos Dados,2023-02-24,['Science & Technology'],,444.0,https://www.youtube.com/watch?v=vriwG0jfH_o,355,21.0,ciencia+de+dados,55.0,6.454545454545454
10,watch?v=StFWYhjoj3c,El ÁLGEBRA LINEAL y su importancia en la CIENCIA DE DATOS y el MACHINE LEARNING,1,Codificando Bits,2023-02-22,['Science & Technology'],"['algebra lineal', 'ciencia de datos', 'data science', 'machine learning', 'inteligencia artificial']",638.0,https://www.youtube.com/watch?v=StFWYhjoj3c,1,88.0,ciencia+de+dados,57.0,0.017543859649122806
11,watch?v=U7-LLpXJbQU,COMO COMEÇAR CIÊNCIAS DE DADOS?,0,Numerofobia,2023-02-20,['Science & Technology'],,1563.0,https://www.youtube.com/watch?v=U7-LLpXJbQU,58,7.0,ciencia+de+dados,59.0,0.9830508474576272
12,watch?v=bKiSrDY2oSg,COMO O CIENTISTA DE DADOS PODE USAR O CHAT GPT AO SEU FAVOR,1,Eduardo | Ciência dos Dados,2023-02-15,['Science & Technology'],,760.0,https://www.youtube.com/watch?v=bKiSrDY2oSg,2,23.0,ciencia+de+dados,64.0,0.03125
13,watch?v=PJY2Y57rT0Y,CIENCIA DE DADADOS? ENGENHARIA DE DADOS? BUSINESS INTELIGENCE? QUAL ESCOLHER 🤔,0,Guilherme Diniz,2023-02-07,['People & Blogs'],,424.0,https://www.youtube.com/watch?v=PJY2Y57rT0Y,3,0.0,ciencia+de+dados,72.0,0.041666666666666664
14,watch?v=nmXm6NFclGQ,Descubra Qual Habilidade do Ciência de Dados Você Precisa Aprender Primeiro...,0,Carreira Analítica,2023-02-07,['Education'],"['ciência de dados', 'cientista de dados', 'analista de dados', 'passo a passo ciencia de dados', 'passo a passo', 'data science', 'ciencia de dados', 'machine learning', 'analise de dados', 'aprendizado de maquina']",982.0,https://www.youtube.com/watch?v=nmXm6NFclGQ,1,173.0,ciencia+de+dados,72.0,0.013888888888888888
15,watch?v=krVsxuxSraw,"NII: ""La Ciencia de Datos y su impacto en las IES para tomar decisiones""",0,Organización de Estados Iberoamericanos OEI,2023-02-03,['Education'],,916.0,https://www.youtube.com/watch?v=krVsxuxSraw,42,3.0,ciencia+de+dados,76.0,0.5526315789473685
16,watch?v=DiK67M3nd08,Como criar seu Projeto de Ciência de Dados,0,Data Marketing,2023-01-30,['Science & Technology'],"['data science', 'ciência de dados', 'machine learning', 'ciencia de dados na pratica', 'ciencia de dados univesp', 'ciencia de dados curso', 'ciencia de dados python', 'ciencia de dados por onde começar', 'ciencia de dados hashtag', 'ciencia de dados mercado financeiro', 'ciencia de dados vale a pena', 'ciencia de dados estacio', 'ciencia de dados alura', 'ciencia de dados usp', 'como começar em ciencia de dados', 'projeto ciencia de dados', 'projeto python', 'projeto sql', 'data science tutorial']",629.0,https://www.youtube.com/watch?v=DiK67M3nd08,816,92.0,ciencia+de+dados,80.0,10.2
17,watch?v=8chHXC6NC1M,Receita Federal - Ciência de Dados - Prof. Rani Passos,0,Rani Passos,2023-01-21,['Education'],,8316.0,https://www.youtube.com/watch?v=8chHXC6NC1M,2,274.0,ciencia+de+dados,89.0,0.02247191011235955
18,watch?v=4KrsiqF5NwU,O Que é BANCO DE DADOS?? Explicado em 2 minutos! - Guttemberg,0,Guttemberg,2023-01-12,['Science & Technology'],"['O Que é BANCO DE DADOS?? Explicado em 2 minutos! - Guttemberg', 'o que é banco de dados?', 'banco de dados', 'dados', 'sql', 'como criar um banco de dados', 'back-end', 'programar', 'programação', 'tecnologia da informação', 'desenvolvedor', '*Kf/cPhp', 'canal guttemberg', 'curso', 'mysql', 'Guttemberg', 'aprender sql', 'software', 'engenharia de software', 'o que e mysql']",144.0,https://www.youtube.com/watch?v=4KrsiqF5NwU,297,26.0,ciencia+de+dados,98.0,3.0306122448979593
19,watch?v=MPku4lfR1Ao,CDPAE06 - Ciência de Dados com Python para Apostadores Esportivos - Pandas - Aula 01,0,FutPythonTrader,2023-01-09,['Science & Technology'],"['trader esportivo', 'punter', 'python tutorial', 'base de dados', 'google colab python', 'palpites de futebol para hoje', 'palpites de futebol', 'palpites futebol hoje', 'betfair trading', 'betfair exchange', 'football data analysis', 'football data analyst', 'football data analysis python', 'pandas']",539.0,https://www.youtube.com/watch?v=MPku4lfR1Ao,357,41.0,ciencia+de+dados,101.0,3.5346534653465347
20,watch?v=KoDNQuflLyM,O q não te falam sobre ciência de dados….,0,"Prof. Claudio Bonel, M.Sc.",2023-02-04,['Education'],,58.0,https://www.youtube.com/watch?v=KoDNQuflLyM,749,41.0,ciencia+de+dados,75.0,9.986666666666666
21,watch?v=Wj2o4mfiXzg,OS MAIORES MITOS SOBRE CIENTISTA DE DADOS,0,Eduardo | Ciência dos Dados,2022-12-30,['Science & Technology'],,3089.0,https://www.youtube.com/watch?v=Wj2o4mfiXzg,1,21.0,ciencia+de+dados,111.0,0.009009009009009009
